Id,Sales_Price,Baths,Land_size,Beds,House_size,Location
7847,24000000,2,8,3,1650,"Kiribathgoda,Gampaha"
7848,17500000,2,13,4,1830,"Kottawa,Colombo"
7849,6500000,1,16.5,1,1650,"Katunayake,Gampaha"
7850,75000000,3,9.15,5,4500,"Battaramulla,Colombo"
7851,18500000,2,7.9,3,1400,"Malabe,Colombo"
7852,38000000,2,10,4,2400,"Kottawa,Colombo"
7853,34000000,4,9,4,2600,"Maharagama,Colombo"
7854,8500000,2,10,2,1500,"Gelioya,Kandy"
7855,9900000,1,10,3,1400,"Negombo,Gampaha"
7856,4200000,1,2,2,544,"Wellampitiya,Colombo"
7857,28500000,4,7.5,5,2500,"Piliyandala,Colombo"
7858,23500000,3,7,5,3200,"Piliyandala,Colombo"
7859,44000000,4,7.7,4,3300,"Talawatugoda,Colombo"
7860,110000000,3,50,4,3000,"Talawatugoda,Colombo"
7861,49500000,4,10,4,4200,"Talawatugoda,Colombo"
7862,36000000,4,8.5,4,3100,"Piliyandala,Colombo"
7863,13500000,1,14,3,1500,"Piliyandala,Colombo"
7864,26500000,3,10.5,4,3150,"Negombo,Gampaha"
7865,26000000,3,7,4,2200,"Piliyandala,Colombo"
7866,29500000,5,12,8,3500,"Peradeniya,Kandy"
7867,19600000,3,10,3,1800,"Athurugiriya,Colombo"
7868,37000000,7,7.5,7,5600,"Kohuwala,Colombo"
7869,9900000,1,10,3,1450,"Negombo,Gampaha"
7870,29900000,2,11.8,3,2500,"Ratmalana,Colombo"
7871,7450000,1,23,3,1219,"Bibile,Monaragala"
7872,30500000,3,7.5,4,3200,"Piliyandala,Colombo"
7873,70000000,3,11,4,2810.6,"Battaramulla,Colombo"
7874,29000000,3,12,4,2275,"Ja-Ela,Gampaha"
7875,5700000,1,22,5,1500,"Batapola,Galle"
7876,28000000,2,10.5,4,2000,"Battaramulla,Colombo"
7877,9000000,1,20,3,1000,"GalleCity,Galle"
7878,40000000,2,7,3,3330,"Maharagama,Colombo"
7879,19500000,2,12.5,3,2000,"Negombo,Gampaha"
7880,12200000,1,10.2,3,1200,"Kaduwela,Colombo"
7881,13000000,2,11,4,2100,"Negombo,Gampaha"
7882,58900000,3,12.15,3,3000,"Moratuwa,Colombo"
7883,26000000,3,10,4,3000,"Maharagama,Colombo"
7884,28500000,2,16,3,2000,"KandyCity,Kandy"
7885,4700000,1,3.5,2,800,"Wellampitiya,Colombo"
7886,180000000,2,25,6,2500,"Maharagama,Colombo"
7887,32000000,3,7,5,3500,"Ratmalana,Colombo"
7888,58000000,5,12,9,5000,"Maharagama,Colombo"
7889,47500000,4,10,6,3000,"Nugegoda,Colombo"
7890,27500000,4,11.5,4,2800,"Malabe,Colombo"
7891,26500000,3,6.5,4,2200,"Malabe,Colombo"
7892,23500000,4,7,4,2000,"Malabe,Colombo"
7893,370000000,3,26.5,5,8000,"Maharagama,Colombo"
